config,run,wall_ms,load_ms,prompt_eval_ms
cpu_default,1,2580,918.93,732.25
cpu_default,2,2546,915.70,737.77
cpu_default,3,2618,956.06,742.32
cpu_fit_off,1,2115,939.04,740.04
cpu_fit_off,2,2091,938.15,751.83
cpu_fit_off,3,2141,958.31,741.48
npu_default,1,3030,1431.62,185.27
npu_default,2,3002,1435.54,185.18
npu_default,3,3000,1442.48,185.44
npu_fit_off,1,2067,1522.20,189.70
npu_fit_off,2,2048,1502.50,190.58
npu_fit_off,3,2060,1503.57,192.26
npu_no_warmup,1,2973,193.55,192.73
npu_no_warmup,2,3005,194.50,193.66
npu_no_warmup,3,2995,195.16,194.34
npu_fit_off_nommap,1,2109,1539.13,184.13
npu_fit_off_nommap,2,2114,1528.87,190.97
npu_fit_off_nommap,3,2102,1532.09,191.85
