id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,551.0,0.0,770.3
1,security_studies,D,D,1,logprob,259,856.2,0.0,770.3
2,professional_law,B,A,0,logprob,174,672.7,0.0,770.3
3,international_law,C,C,1,logprob,93,504.5,0.0,770.3
4,professional_medicine,A,B,0,logprob,200,761.3,0.0,770.3
5,high_school_physics,D,B,0,logprob,98,514.1,0.0,770.3
6,virology,A,D,0,logprob,86,482.8,0.0,770.3
7,miscellaneous,B,B,1,logprob,96,514.7,0.0,770.3
8,professional_law,D,B,0,logprob,233,826.1,0.0,770.3
9,high_school_biology,C,C,1,logprob,71,470.2,0.0,770.3
10,us_foreign_policy,B,B,1,logprob,96,517.1,0.0,770.3
11,machine_learning,C,C,1,logprob,99,502.8,0.0,770.3
12,clinical_knowledge,C,C,1,logprob,78,495.1,0.0,770.3
13,professional_law,A,D,0,logprob,420,1338.5,0.0,770.3
14,high_school_geography,B,B,1,logprob,84,476.1,0.0,770.3
15,business_ethics,C,B,0,logprob,90,487.4,0.0,770.3
16,high_school_physics,C,B,0,logprob,93,517.8,0.0,770.3
17,anatomy,B,B,1,logprob,95,507.4,0.0,770.3
18,medical_genetics,C,C,1,logprob,99,491.3,0.0,770.3
19,moral_scenarios,B,C,0,logprob,131,597.3,0.0,770.3
20,machine_learning,B,B,1,logprob,57,426.3,0.0,770.3
21,high_school_us_history,D,D,1,logprob,378,1199.2,0.0,770.3
22,formal_logic,D,D,1,logprob,98,503.9,0.0,770.3
23,high_school_us_history,A,A,1,logprob,238,822.1,0.0,770.3
24,high_school_european_history,C,C,1,logprob,211,775.4,0.0,770.3
25,college_biology,C,C,1,logprob,109,518.8,0.0,770.3
26,virology,B,A,0,logprob,78,493.0,0.0,770.3
27,high_school_psychology,A,A,1,logprob,208,815.7,0.0,770.3
28,elementary_mathematics,B,B,1,logprob,93,513.1,0.0,770.3
29,prehistory,B,B,1,logprob,91,505.9,0.0,770.3
30,miscellaneous,B,B,1,logprob,57,437.7,0.0,770.3
31,moral_scenarios,C,B,0,logprob,139,637.5,0.0,770.3
32,anatomy,B,B,1,logprob,109,524.7,0.0,770.3
33,professional_psychology,B,C,0,logprob,61,438.4,0.0,770.3
34,high_school_statistics,D,B,0,logprob,198,758.7,0.0,770.3
35,philosophy,A,B,0,logprob,90,496.2,0.0,770.3
36,professional_law,C,A,0,logprob,423,1361.0,0.0,770.3
37,professional_accounting,C,B,0,logprob,87,499.6,0.0,770.3
38,high_school_psychology,B,B,1,logprob,158,668.7,0.0,770.3
39,high_school_us_history,A,A,1,logprob,320,1051.2,0.0,770.3
40,astronomy,D,B,0,logprob,95,518.9,0.0,770.3
41,professional_medicine,B,D,0,logprob,102,526.0,0.0,770.3
42,professional_medicine,D,D,1,logprob,416,1309.8,0.0,770.3
43,moral_scenarios,D,C,0,logprob,143,645.6,0.0,770.3
44,professional_psychology,C,C,1,logprob,94,519.1,0.0,770.3
45,philosophy,D,D,1,logprob,82,493.8,0.0,770.3
46,miscellaneous,C,C,1,logprob,59,423.1,0.0,770.3
47,moral_scenarios,C,C,1,logprob,129,589.6,0.0,770.3
48,nutrition,C,C,1,logprob,63,446.5,0.0,770.3
49,conceptual_physics,C,A,0,logprob,92,510.7,0.0,770.3
50,high_school_geography,D,D,1,logprob,84,480.3,0.0,715.8
51,philosophy,D,B,0,logprob,98,512.0,0.0,715.8
52,high_school_world_history,B,B,1,logprob,344,1142.8,0.0,715.8
53,miscellaneous,A,B,0,logprob,60,439.2,0.0,715.8
54,high_school_physics,A,D,0,logprob,231,815.5,0.0,715.8
55,high_school_macroeconomics,D,A,0,logprob,105,541.2,0.0,715.8
56,electrical_engineering,D,A,0,logprob,83,480.4,0.0,715.8
57,sociology,C,C,1,logprob,110,516.0,0.0,715.8
58,high_school_mathematics,D,B,0,logprob,64,441.0,0.0,715.8
59,clinical_knowledge,A,A,1,logprob,78,482.9,0.0,715.8
60,high_school_biology,A,A,1,logprob,85,539.9,0.0,715.8
61,high_school_macroeconomics,B,C,0,logprob,79,494.1,0.0,715.8
62,college_biology,D,D,1,logprob,130,592.7,0.0,715.8
63,marketing,C,C,1,logprob,85,516.5,0.0,715.8
64,moral_disputes,D,A,0,logprob,119,585.5,0.0,715.8
65,moral_scenarios,B,B,1,logprob,132,589.6,0.0,715.8
66,philosophy,D,D,1,logprob,78,497.7,0.0,715.8
67,moral_scenarios,B,B,1,logprob,129,585.3,0.0,715.8
68,college_mathematics,B,A,0,logprob,138,610.6,0.0,715.8
69,elementary_mathematics,A,A,1,logprob,123,563.6,0.0,715.8
70,prehistory,D,B,0,logprob,69,483.9,0.0,715.8
71,professional_medicine,A,A,1,logprob,358,1205.0,0.0,715.8
72,professional_psychology,C,A,0,logprob,93,500.5,0.0,715.8
73,conceptual_physics,B,B,1,logprob,61,440.1,0.0,715.8
74,moral_scenarios,D,C,0,logprob,142,614.3,0.0,715.8
75,high_school_government_and_politics,B,B,1,logprob,78,465.3,0.0,715.8
76,professional_accounting,B,B,1,logprob,114,547.7,0.0,715.8
77,professional_psychology,D,D,1,logprob,78,499.7,0.0,715.8
78,formal_logic,C,B,0,logprob,103,527.0,0.0,715.8
79,professional_psychology,A,D,0,logprob,73,481.9,0.0,715.8
80,human_aging,A,D,0,logprob,75,482.7,0.0,715.8
81,logical_fallacies,B,B,1,logprob,157,645.2,0.0,715.8
82,moral_scenarios,C,B,0,logprob,126,599.3,0.0,715.8
83,high_school_government_and_politics,B,D,0,logprob,108,512.5,0.0,715.8
84,miscellaneous,A,A,1,logprob,58,445.7,0.0,715.8
85,professional_accounting,D,C,0,logprob,151,642.2,0.0,715.8
86,elementary_mathematics,B,B,1,logprob,112,544.5,0.0,715.8
87,conceptual_physics,A,B,0,logprob,58,431.1,0.0,715.8
88,high_school_mathematics,C,B,0,logprob,93,501.3,0.0,715.8
89,high_school_geography,B,B,1,logprob,88,499.2,0.0,715.8
90,machine_learning,C,B,0,logprob,153,650.2,0.0,715.8
91,conceptual_physics,A,B,0,logprob,76,476.5,0.0,715.8
92,human_sexuality,D,D,1,logprob,157,641.3,0.0,715.8
93,sociology,D,D,1,logprob,119,565.5,0.0,715.8
94,professional_law,C,C,1,logprob,353,1148.4,0.0,715.8
95,conceptual_physics,A,C,0,logprob,77,487.5,0.0,715.8
96,high_school_government_and_politics,A,D,0,logprob,101,526.0,0.0,715.8
97,computer_security,A,A,1,logprob,60,440.5,0.0,715.8
98,moral_scenarios,A,C,0,logprob,129,571.6,0.0,715.8
99,moral_scenarios,C,B,0,logprob,131,600.4,0.0,715.8
