id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,270.1,0.0,497.1
1,security_studies,D,D,1,logprob,259,408.7,0.0,497.1
2,professional_law,B,A,0,logprob,174,316.6,0.0,497.1
3,international_law,C,C,1,logprob,93,226.9,0.0,497.1
4,professional_medicine,A,B,0,logprob,200,358.0,0.0,497.1
5,high_school_physics,D,B,0,logprob,98,228.6,0.0,497.1
6,virology,A,D,0,logprob,86,222.2,0.0,497.1
7,miscellaneous,B,B,1,logprob,96,226.7,0.0,497.1
8,professional_law,D,B,0,logprob,233,385.2,0.0,497.1
9,high_school_biology,C,C,1,logprob,71,213.6,0.0,497.1
10,us_foreign_policy,B,B,1,logprob,96,227.0,0.0,497.1
11,machine_learning,C,C,1,logprob,99,228.4,0.0,497.1
12,clinical_knowledge,C,C,1,logprob,78,216.5,0.0,497.1
13,professional_law,A,D,0,logprob,420,619.9,0.0,497.1
14,high_school_geography,B,B,1,logprob,84,218.7,0.0,497.1
15,business_ethics,C,B,0,logprob,90,224.1,0.0,497.1
16,high_school_physics,C,B,0,logprob,93,226.1,0.0,497.1
17,anatomy,B,B,1,logprob,95,226.9,0.0,497.1
18,medical_genetics,C,C,1,logprob,99,228.2,0.0,497.1
19,moral_scenarios,B,C,0,logprob,131,261.8,0.0,497.1
20,machine_learning,B,B,1,logprob,57,195.1,0.0,497.1
21,high_school_us_history,D,D,1,logprob,378,559.2,0.0,497.1
22,formal_logic,D,D,1,logprob,98,228.1,0.0,497.1
23,high_school_us_history,A,A,1,logprob,238,388.5,0.0,497.1
24,high_school_european_history,C,C,1,logprob,211,368.5,0.0,497.1
25,college_biology,C,C,1,logprob,109,242.6,0.0,497.1
26,virology,B,A,0,logprob,78,216.3,0.0,497.1
27,high_school_psychology,A,A,1,logprob,208,361.1,0.0,497.1
28,elementary_mathematics,B,B,1,logprob,93,226.6,0.0,497.1
29,prehistory,B,B,1,logprob,91,224.8,0.0,497.1
30,miscellaneous,B,B,1,logprob,57,195.4,0.0,497.1
31,moral_scenarios,C,B,0,logprob,139,277.0,0.0,497.1
32,anatomy,B,B,1,logprob,109,241.7,0.0,497.1
33,professional_psychology,B,C,0,logprob,61,198.6,0.0,497.1
34,high_school_statistics,D,B,0,logprob,198,357.1,0.0,497.1
35,philosophy,A,B,0,logprob,90,224.5,0.0,497.1
36,professional_law,C,A,0,logprob,423,629.3,0.0,497.1
37,professional_accounting,C,B,0,logprob,87,222.9,0.0,497.1
38,high_school_psychology,B,B,1,logprob,158,291.7,0.0,497.1
39,high_school_us_history,A,A,1,logprob,320,486.8,0.0,497.1
40,astronomy,D,B,0,logprob,95,227.9,0.0,497.1
41,professional_medicine,B,D,0,logprob,102,238.7,0.0,497.1
42,professional_medicine,D,D,1,logprob,416,609.8,0.0,497.1
43,moral_scenarios,D,C,0,logprob,143,279.6,0.0,497.1
44,professional_psychology,C,C,1,logprob,94,227.1,0.0,497.1
45,philosophy,D,D,1,logprob,82,217.7,0.0,497.1
46,miscellaneous,C,C,1,logprob,59,195.6,0.0,497.1
47,moral_scenarios,C,C,1,logprob,129,261.7,0.0,497.1
48,nutrition,C,C,1,logprob,63,199.2,0.0,497.1
49,conceptual_physics,C,A,0,logprob,92,224.1,0.0,497.1
50,high_school_geography,D,D,1,logprob,84,228.3,0.0,425.4
51,philosophy,D,B,0,logprob,98,228.2,0.0,425.4
52,high_school_world_history,B,B,1,logprob,344,525.0,0.0,425.4
53,miscellaneous,A,B,0,logprob,60,195.0,0.0,425.4
54,high_school_physics,A,D,0,logprob,231,386.0,0.0,425.4
55,high_school_macroeconomics,D,A,0,logprob,105,240.8,0.0,425.4
56,electrical_engineering,D,C,0,logprob,83,218.3,0.0,425.4
57,sociology,C,C,1,logprob,110,242.2,0.0,425.4
58,high_school_mathematics,D,B,0,logprob,64,199.2,0.0,425.4
59,clinical_knowledge,A,A,1,logprob,78,216.1,0.0,425.4
60,high_school_biology,A,A,1,logprob,85,223.9,0.0,425.4
61,high_school_macroeconomics,B,C,0,logprob,79,216.4,0.0,425.4
