id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,267.3,0.0,478.9
1,security_studies,D,D,1,logprob,259,404.0,0.0,478.9
2,professional_law,B,A,0,logprob,174,313.2,0.0,478.9
3,international_law,C,C,1,logprob,93,224.0,0.0,478.9
4,professional_medicine,A,B,0,logprob,200,355.5,0.0,478.9
5,high_school_physics,D,B,0,logprob,98,225.8,0.0,478.9
6,virology,A,D,0,logprob,86,220.3,0.0,478.9
7,miscellaneous,B,B,1,logprob,96,223.7,0.0,478.9
8,professional_law,D,B,0,logprob,233,382.4,0.0,478.9
9,high_school_biology,C,C,1,logprob,71,210.6,0.0,478.9
10,us_foreign_policy,B,B,1,logprob,96,223.7,0.0,478.9
11,machine_learning,C,C,1,logprob,99,225.8,0.0,478.9
12,clinical_knowledge,C,C,1,logprob,78,213.3,0.0,478.9
13,professional_law,A,D,0,logprob,420,618.1,0.0,478.9
14,high_school_geography,B,B,1,logprob,84,215.2,0.0,478.9
15,business_ethics,C,B,0,logprob,90,221.3,0.0,478.9
16,high_school_physics,C,B,0,logprob,93,223.5,0.0,478.9
17,anatomy,B,B,1,logprob,95,224.1,0.0,478.9
18,medical_genetics,C,C,1,logprob,99,225.4,0.0,478.9
19,moral_scenarios,B,C,0,logprob,131,259.9,0.0,478.9
20,machine_learning,B,B,1,logprob,57,192.6,0.0,478.9
21,high_school_us_history,D,D,1,logprob,378,563.7,0.0,478.9
22,formal_logic,D,D,1,logprob,98,225.7,0.0,478.9
23,high_school_us_history,A,A,1,logprob,238,385.7,0.0,478.9
24,high_school_european_history,C,C,1,logprob,211,360.0,0.0,478.9
25,college_biology,C,C,1,logprob,109,239.3,0.0,478.9
26,virology,B,A,0,logprob,78,213.1,0.0,478.9
27,high_school_psychology,A,A,1,logprob,208,358.2,0.0,478.9
28,elementary_mathematics,B,B,1,logprob,93,223.7,0.0,478.9
29,prehistory,B,B,1,logprob,91,221.1,0.0,478.9
30,miscellaneous,B,B,1,logprob,57,192.3,0.0,478.9
31,moral_scenarios,C,B,0,logprob,139,274.5,0.0,478.9
32,anatomy,B,B,1,logprob,109,239.3,0.0,478.9
33,professional_psychology,B,C,0,logprob,61,195.6,0.0,478.9
34,high_school_statistics,D,B,0,logprob,198,354.7,0.0,478.9
35,philosophy,A,B,0,logprob,90,221.7,0.0,478.9
36,professional_law,C,A,0,logprob,423,637.9,0.0,478.9
37,professional_accounting,C,B,0,logprob,87,220.3,0.0,478.9
38,high_school_psychology,B,B,1,logprob,158,289.1,0.0,478.9
39,high_school_us_history,A,A,1,logprob,320,473.9,0.0,478.9
40,astronomy,D,B,0,logprob,95,224.4,0.0,478.9
41,professional_medicine,B,D,0,logprob,102,236.2,0.0,478.9
42,professional_medicine,D,D,1,logprob,416,617.9,0.0,478.9
43,moral_scenarios,D,C,0,logprob,143,277.3,0.0,478.9
44,professional_psychology,C,C,1,logprob,94,223.9,0.0,478.9
45,philosophy,D,D,1,logprob,82,214.9,0.0,478.9
46,miscellaneous,C,C,1,logprob,59,192.9,0.0,478.9
47,moral_scenarios,C,C,1,logprob,129,259.0,0.0,478.9
48,nutrition,C,C,1,logprob,63,196.7,0.0,478.9
