id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,277.6,0.0,453.6
1,security_studies,D,D,1,logprob,259,452.6,0.0,453.6
2,professional_law,B,A,0,logprob,174,362.1,0.0,453.6
3,international_law,C,C,1,logprob,93,259.3,0.0,453.6
4,professional_medicine,A,B,0,logprob,200,394.8,0.0,453.6
5,high_school_physics,D,B,0,logprob,98,240.6,0.0,453.6
6,virology,A,D,0,logprob,86,238.5,0.0,453.6
7,miscellaneous,B,B,1,logprob,96,251.2,0.0,453.6
8,professional_law,D,B,0,logprob,233,420.8,0.0,453.6
9,high_school_biology,C,C,1,logprob,71,223.3,0.0,453.6
10,us_foreign_policy,B,B,1,logprob,96,251.7,0.0,453.6
11,machine_learning,C,C,1,logprob,99,246.4,0.0,453.6
12,clinical_knowledge,C,C,1,logprob,78,234.5,0.0,453.6
13,professional_law,A,D,0,logprob,420,652.9,0.0,453.6
14,high_school_geography,B,B,1,logprob,84,241.8,0.0,453.6
15,business_ethics,C,B,0,logprob,90,232.1,0.0,453.6
16,high_school_physics,C,B,0,logprob,93,235.7,0.0,453.6
17,anatomy,B,B,1,logprob,95,241.9,0.0,453.6
18,medical_genetics,C,C,1,logprob,99,263.5,0.0,453.6
19,moral_scenarios,B,C,0,logprob,131,296.7,0.0,453.6
20,machine_learning,B,B,1,logprob,57,196.8,0.0,453.6
21,high_school_us_history,D,D,1,logprob,378,583.0,0.0,453.6
22,formal_logic,D,D,1,logprob,98,245.7,0.0,453.6
23,high_school_us_history,A,A,1,logprob,238,425.7,0.0,453.6
24,high_school_european_history,C,C,1,logprob,211,421.8,0.0,453.6
25,college_biology,C,C,1,logprob,109,250.9,0.0,453.6
26,virology,B,A,0,logprob,78,229.2,0.0,453.6
27,high_school_psychology,A,A,1,logprob,208,399.6,0.0,453.6
28,elementary_mathematics,B,B,1,logprob,93,240.3,0.0,453.6
29,prehistory,B,B,1,logprob,91,235.0,0.0,453.6
30,miscellaneous,B,B,1,logprob,57,215.3,0.0,453.6
31,moral_scenarios,C,B,0,logprob,139,320.5,0.0,453.6
32,anatomy,B,B,1,logprob,109,250.0,0.0,453.6
33,professional_psychology,B,C,0,logprob,61,200.9,0.0,453.6
34,high_school_statistics,D,B,0,logprob,198,389.5,0.0,453.6
35,philosophy,A,B,0,logprob,90,237.1,0.0,453.6
36,professional_law,C,A,0,logprob,423,667.3,0.0,453.6
37,professional_accounting,C,B,0,logprob,87,237.1,0.0,453.6
38,high_school_psychology,B,B,1,logprob,158,303.1,0.0,453.6
39,high_school_us_history,A,A,1,logprob,320,520.7,0.0,453.6
40,astronomy,D,B,0,logprob,95,238.3,0.0,453.6
41,professional_medicine,B,D,0,logprob,102,259.7,0.0,453.6
42,professional_medicine,D,D,1,logprob,416,651.4,0.0,453.6
43,moral_scenarios,D,C,0,logprob,143,299.9,0.0,453.6
44,professional_psychology,C,C,1,logprob,94,236.8,0.0,453.6
45,philosophy,D,D,1,logprob,82,229.9,0.0,453.6
46,miscellaneous,C,C,1,logprob,59,198.1,0.0,453.6
47,moral_scenarios,C,C,1,logprob,129,277.3,0.0,453.6
48,nutrition,C,C,1,logprob,63,201.7,0.0,453.6
