id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,269.4,0.0,426.1
1,security_studies,D,D,1,logprob,259,441.7,0.0,426.1
2,professional_law,B,A,0,logprob,174,334.2,0.0,426.1
3,international_law,C,C,1,logprob,93,250.0,0.0,426.1
4,professional_medicine,A,B,0,logprob,200,384.9,0.0,426.1
5,high_school_physics,D,B,0,logprob,98,238.4,0.0,426.1
6,virology,A,D,0,logprob,86,233.6,0.0,426.1
7,miscellaneous,B,B,1,logprob,96,238.8,0.0,426.1
8,professional_law,D,B,0,logprob,233,422.5,0.0,426.1
9,high_school_biology,C,C,1,logprob,71,229.6,0.0,426.1
10,us_foreign_policy,B,B,1,logprob,96,241.8,0.0,426.1
11,machine_learning,C,C,1,logprob,99,241.6,0.0,426.1
12,clinical_knowledge,C,C,1,logprob,78,230.9,0.0,426.1
13,professional_law,A,D,0,logprob,420,676.1,0.0,426.1
14,high_school_geography,B,B,1,logprob,84,227.6,0.0,426.1
15,business_ethics,C,B,0,logprob,90,233.0,0.0,426.1
16,high_school_physics,C,B,0,logprob,93,240.8,0.0,426.1
17,anatomy,B,B,1,logprob,95,236.7,0.0,426.1
18,medical_genetics,C,C,1,logprob,99,243.0,0.0,426.1
19,moral_scenarios,B,C,0,logprob,131,285.3,0.0,426.1
20,machine_learning,B,B,1,logprob,57,199.4,0.0,426.1
21,high_school_us_history,D,D,1,logprob,378,584.7,0.0,426.1
22,formal_logic,D,D,1,logprob,98,248.7,0.0,426.1
23,high_school_us_history,A,A,1,logprob,238,417.3,0.0,426.1
24,high_school_european_history,C,C,1,logprob,211,384.7,0.0,426.1
25,college_biology,C,C,1,logprob,109,264.9,0.0,426.1
26,virology,B,A,0,logprob,78,239.8,0.0,426.1
27,high_school_psychology,A,A,1,logprob,208,408.8,0.0,426.1
28,elementary_mathematics,B,B,1,logprob,93,241.4,0.0,426.1
29,prehistory,B,B,1,logprob,91,236.4,0.0,426.1
30,miscellaneous,B,B,1,logprob,57,197.5,0.0,426.1
31,moral_scenarios,C,B,0,logprob,139,294.3,0.0,426.1
32,anatomy,B,B,1,logprob,109,267.6,0.0,426.1
33,professional_psychology,B,C,0,logprob,61,212.2,0.0,426.1
34,high_school_statistics,D,B,0,logprob,198,388.0,0.0,426.1
35,philosophy,A,B,0,logprob,90,237.7,0.0,426.1
36,professional_law,C,A,0,logprob,423,669.3,0.0,426.1
37,professional_accounting,C,B,0,logprob,87,245.4,0.0,426.1
38,high_school_psychology,B,B,1,logprob,158,302.8,0.0,426.1
39,high_school_us_history,A,A,1,logprob,320,508.0,0.0,426.1
40,astronomy,D,B,0,logprob,95,236.4,0.0,426.1
41,professional_medicine,B,D,0,logprob,102,258.5,0.0,426.1
42,professional_medicine,D,D,1,logprob,416,640.0,0.0,426.1
43,moral_scenarios,D,C,0,logprob,143,299.2,0.0,426.1
44,professional_psychology,C,C,1,logprob,94,236.4,0.0,426.1
45,philosophy,D,D,1,logprob,82,229.0,0.0,426.1
46,miscellaneous,C,C,1,logprob,59,198.4,0.0,426.1
47,moral_scenarios,C,C,1,logprob,129,274.1,0.0,426.1
48,nutrition,C,C,1,logprob,63,201.6,0.0,426.1
49,conceptual_physics,C,A,0,logprob,92,235.7,0.0,426.1
50,high_school_geography,D,D,1,logprob,84,238.7,0.0,390.2
51,philosophy,D,B,0,logprob,98,240.5,0.0,390.2
52,high_school_world_history,B,B,1,logprob,344,554.7,0.0,390.2
53,miscellaneous,A,B,0,logprob,60,197.4,0.0,390.2
