id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,403.8,0.0,510.1
1,security_studies,D,D,1,logprob,259,614.0,0.0,510.1
2,professional_law,B,A,0,logprob,174,472.4,0.0,510.1
3,international_law,C,C,1,logprob,93,335.2,0.0,510.1
4,professional_medicine,A,B,0,logprob,200,550.6,0.0,510.1
5,high_school_physics,D,B,0,logprob,98,370.6,0.0,510.1
6,virology,A,D,0,logprob,86,358.6,0.0,510.1
7,miscellaneous,B,B,1,logprob,96,366.5,0.0,510.1
8,professional_law,D,B,0,logprob,233,596.9,0.0,510.1
9,high_school_biology,C,C,1,logprob,71,314.4,0.0,510.1
10,us_foreign_policy,B,B,1,logprob,96,347.1,0.0,510.1
11,machine_learning,C,C,1,logprob,99,290.6,0.0,510.1
12,clinical_knowledge,C,C,1,logprob,78,266.8,0.0,510.1
13,professional_law,A,D,0,logprob,420,770.0,0.0,510.1
14,high_school_geography,B,B,1,logprob,84,284.3,0.0,510.1
15,business_ethics,C,B,0,logprob,90,288.6,0.0,510.1
16,high_school_physics,C,B,0,logprob,93,274.5,0.0,510.1
17,anatomy,B,B,1,logprob,95,276.0,0.0,510.1
18,medical_genetics,C,C,1,logprob,99,298.0,0.0,510.1
19,moral_scenarios,B,C,0,logprob,131,353.7,0.0,510.1
20,machine_learning,B,B,1,logprob,57,225.4,0.0,510.1
21,high_school_us_history,D,D,1,logprob,378,676.6,0.0,510.1
22,formal_logic,D,D,1,logprob,98,290.0,0.0,510.1
23,high_school_us_history,A,A,1,logprob,238,498.6,0.0,510.1
24,high_school_european_history,C,C,1,logprob,211,467.1,0.0,510.1
25,college_biology,C,C,1,logprob,109,306.4,0.0,510.1
26,virology,B,A,0,logprob,78,273.3,0.0,510.1
27,high_school_psychology,A,A,1,logprob,208,453.0,0.0,510.1
28,elementary_mathematics,B,B,1,logprob,93,303.1,0.0,510.1
29,prehistory,B,B,1,logprob,91,297.4,0.0,510.1
