id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,275.1,0.0,277.4
1,security_studies,D,D,1,logprob,259,466.3,0.0,468.8
2,professional_law,B,A,0,logprob,174,388.4,0.0,390.7
3,international_law,C,C,1,logprob,93,258.9,0.0,263.8
4,professional_medicine,A,B,0,logprob,200,507.4,0.0,514.4
5,high_school_physics,D,B,0,logprob,98,247.2,0.0,252.8
6,virology,A,D,0,logprob,86,266.9,0.0,270.0
7,miscellaneous,B,B,1,logprob,96,276.7,0.0,279.4
8,professional_law,D,B,0,logprob,233,678.9,0.0,682.5
9,high_school_biology,C,C,1,logprob,71,308.3,0.0,313.4
10,us_foreign_policy,B,B,1,logprob,96,300.2,0.0,308.2
11,machine_learning,C,B,0,logprob,99,286.8,0.0,291.1
12,clinical_knowledge,C,C,1,logprob,78,276.6,0.0,278.6
13,professional_law,A,D,0,logprob,420,946.1,0.0,949.2
14,high_school_geography,B,B,1,logprob,84,279.7,0.0,282.3
15,business_ethics,C,B,0,logprob,90,265.6,0.0,267.8
16,high_school_physics,C,B,0,logprob,93,266.8,0.0,268.9
17,anatomy,B,B,1,logprob,95,268.3,0.0,270.4
18,medical_genetics,C,C,1,logprob,99,269.6,0.0,272.5
19,moral_scenarios,B,B,1,logprob,131,341.8,0.0,347.4
20,machine_learning,B,B,1,logprob,57,206.1,0.0,213.5
21,high_school_us_history,D,D,1,logprob,378,882.8,0.0,890.4
22,formal_logic,D,B,0,logprob,98,284.4,0.0,293.1
23,high_school_us_history,A,A,1,logprob,238,578.7,0.0,587.1
24,high_school_european_history,C,C,1,logprob,211,519.0,0.0,526.9
25,college_biology,C,C,1,logprob,109,315.7,0.0,322.4
26,virology,B,D,0,logprob,78,248.3,0.0,253.5
27,high_school_psychology,A,A,1,logprob,208,506.1,0.0,510.2
28,elementary_mathematics,B,,0,none,93,267.7,0.0,274.9
29,prehistory,B,B,1,logprob,91,258.2,0.0,265.4
30,miscellaneous,B,B,1,logprob,57,178.7,0.0,185.5
31,moral_scenarios,C,B,0,logprob,139,347.8,0.0,355.2
32,anatomy,B,B,1,logprob,109,297.8,0.0,305.1
33,professional_psychology,B,C,0,logprob,61,173.8,0.0,178.7
34,high_school_statistics,D,A,0,logprob,198,433.0,0.0,438.4
35,philosophy,A,B,0,logprob,90,225.9,0.0,232.8
36,professional_law,C,A,0,logprob,423,901.1,0.0,908.7
37,professional_accounting,C,B,0,logprob,87,245.1,0.0,254.1
38,high_school_psychology,B,B,1,logprob,158,350.3,0.0,356.8
39,high_school_us_history,A,A,1,logprob,320,674.5,0.0,683.7
40,astronomy,D,B,0,logprob,95,244.5,0.0,253.0
41,professional_medicine,B,B,1,logprob,102,286.6,0.0,293.7
42,professional_medicine,D,D,1,logprob,416,862.0,0.0,868.2
43,moral_scenarios,D,C,0,logprob,143,347.8,0.0,353.3
44,professional_psychology,C,C,1,logprob,94,241.8,0.0,247.9
45,philosophy,D,D,1,logprob,82,239.2,0.0,246.2
46,miscellaneous,C,C,1,logprob,59,182.5,0.0,188.3
47,moral_scenarios,C,B,0,logprob,129,291.3,0.0,298.2
48,nutrition,C,C,1,logprob,63,180.2,0.0,186.7
49,conceptual_physics,C,B,0,logprob,92,236.1,0.0,242.4
50,high_school_geography,D,D,1,logprob,84,236.2,0.0,243.5
51,philosophy,D,B,0,logprob,98,238.0,0.0,245.1
52,high_school_world_history,B,B,1,logprob,344,738.5,0.0,747.1
53,miscellaneous,A,D,0,logprob,60,190.1,0.0,199.0
54,high_school_physics,A,B,0,logprob,231,530.3,0.0,535.5
55,high_school_macroeconomics,D,A,0,logprob,105,293.3,0.0,295.6
56,electrical_engineering,D,B,0,logprob,83,233.6,0.0,235.5
57,sociology,C,C,1,logprob,110,298.4,0.0,300.3
58,high_school_mathematics,D,A,0,logprob,64,190.8,0.0,195.0
59,clinical_knowledge,A,A,1,logprob,78,245.9,0.0,252.6
60,high_school_biology,A,A,1,logprob,85,239.3,0.0,245.2
61,high_school_macroeconomics,B,B,1,logprob,79,243.6,0.0,251.4
62,college_biology,D,D,1,logprob,130,322.5,0.0,331.5
63,marketing,C,C,1,logprob,85,286.6,0.0,294.3
64,moral_disputes,D,A,0,logprob,119,359.6,0.0,366.9
65,moral_scenarios,B,B,1,logprob,132,341.5,0.0,347.1
66,philosophy,D,D,1,logprob,78,257.3,0.0,262.7
67,moral_scenarios,B,C,0,logprob,129,306.9,0.0,313.8
68,college_mathematics,B,A,0,logprob,138,373.7,0.0,383.5
69,elementary_mathematics,A,A,1,logprob,123,335.4,0.0,342.9
70,prehistory,D,B,0,logprob,69,251.6,0.0,256.6
71,professional_medicine,A,A,1,logprob,358,812.0,0.0,814.8
72,professional_psychology,C,A,0,logprob,93,273.7,0.0,276.6
73,conceptual_physics,B,B,1,logprob,61,196.5,0.0,199.6
74,moral_scenarios,D,C,0,logprob,142,368.1,0.0,371.7
75,high_school_government_and_politics,B,B,1,logprob,78,252.5,0.0,258.3
76,professional_accounting,B,B,1,logprob,114,299.8,0.0,304.4
77,professional_psychology,D,D,1,logprob,78,241.9,0.0,244.0
78,formal_logic,C,A,0,logprob,103,303.6,0.0,306.2
79,professional_psychology,A,B,0,logprob,73,246.2,0.0,251.0
80,human_aging,A,D,0,logprob,75,244.1,0.0,249.9
81,logical_fallacies,B,C,0,logprob,157,369.6,0.0,375.2
82,moral_scenarios,C,B,0,logprob,126,308.5,0.0,312.8
83,high_school_government_and_politics,B,D,0,logprob,108,283.4,0.0,285.6
84,miscellaneous,A,A,1,logprob,58,175.6,0.0,177.6
85,professional_accounting,D,B,0,logprob,151,318.4,0.0,320.3
86,elementary_mathematics,B,A,0,logprob,112,269.0,0.0,271.1
87,conceptual_physics,A,B,0,logprob,58,181.0,0.0,182.9
88,high_school_mathematics,C,A,0,logprob,93,258.0,0.0,259.9
89,high_school_geography,B,B,1,logprob,88,261.8,0.0,263.8
90,machine_learning,C,B,0,logprob,153,402.7,0.0,404.8
91,conceptual_physics,A,B,0,logprob,76,256.2,0.0,258.5
92,human_sexuality,D,D,1,logprob,157,382.5,0.0,384.6
93,sociology,D,D,1,logprob,119,322.1,0.0,324.4
94,professional_law,C,D,0,logprob,353,733.4,0.0,738.7
95,conceptual_physics,A,C,0,logprob,77,260.8,0.0,269.5
96,high_school_government_and_politics,A,D,0,logprob,101,314.0,0.0,321.0
97,computer_security,A,A,1,logprob,60,183.6,0.0,189.9
98,moral_scenarios,A,B,0,logprob,129,309.0,0.0,317.0
99,moral_scenarios,C,B,0,logprob,131,311.5,0.0,317.6
100,global_facts,B,C,0,logprob,83,247.0,0.0,253.9
101,computer_security,D,D,1,logprob,66,190.1,0.0,197.1
102,conceptual_physics,B,C,0,logprob,68,183.0,0.0,190.3
103,public_relations,C,C,1,logprob,126,293.6,0.0,298.1
104,moral_disputes,A,B,0,logprob,120,283.1,0.0,285.5
105,clinical_knowledge,C,C,1,logprob,72,227.4,0.0,229.4
106,computer_security,C,B,0,logprob,86,217.5,0.0,219.4
107,professional_accounting,D,B,0,logprob,158,340.6,0.0,342.8
108,high_school_psychology,D,D,1,logprob,107,278.2,0.0,282.7
109,high_school_mathematics,D,A,0,logprob,72,250.6,0.0,256.8
110,moral_scenarios,D,B,0,logprob,140,383.7,0.0,386.6
111,professional_psychology,B,A,0,logprob,137,394.0,0.0,399.7
112,clinical_knowledge,C,C,1,logprob,80,232.1,0.0,239.7
