id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,236.8,0.0,245.3
1,security_studies,D,D,1,logprob,259,407.0,0.0,418.4
2,professional_law,B,A,0,logprob,174,315.1,0.0,325.6
3,international_law,C,C,1,logprob,93,185.2,0.0,193.9
4,professional_medicine,A,A,1,logprob,200,359.0,0.0,368.5
5,high_school_physics,D,C,0,logprob,98,188.7,0.0,199.2
6,virology,A,D,0,logprob,86,188.2,0.0,198.0
7,miscellaneous,B,B,1,logprob,96,185.8,0.0,194.3
8,professional_law,D,B,0,logprob,233,404.9,0.0,415.7
9,high_school_biology,C,C,1,logprob,71,186.0,0.0,197.3
10,us_foreign_policy,B,B,1,logprob,96,186.9,0.0,195.5
11,machine_learning,C,C,1,logprob,99,184.6,0.0,192.2
12,clinical_knowledge,C,C,1,logprob,78,183.3,0.0,191.4
13,professional_law,A,A,1,logprob,420,628.6,0.0,639.1
14,high_school_geography,B,B,1,logprob,84,182.4,0.0,193.5
15,business_ethics,C,B,0,logprob,90,182.0,0.0,189.4
16,high_school_physics,C,B,0,logprob,93,180.4,0.0,184.3
17,anatomy,B,B,1,logprob,95,182.3,0.0,186.7
18,medical_genetics,C,C,1,logprob,99,185.4,0.0,192.7
19,moral_scenarios,B,C,0,logprob,131,227.6,0.0,236.4
20,machine_learning,B,B,1,logprob,57,137.7,0.0,143.1
21,high_school_us_history,D,D,1,logprob,378,581.4,0.0,589.4
22,formal_logic,D,A,0,logprob,98,185.6,0.0,195.9
23,high_school_us_history,A,A,1,logprob,238,402.2,0.0,410.1
24,high_school_european_history,C,C,1,logprob,211,363.9,0.0,375.2
25,college_biology,C,C,1,logprob,109,229.2,0.0,240.8
26,virology,B,A,0,logprob,78,181.6,0.0,190.1
27,high_school_psychology,A,A,1,logprob,208,359.4,0.0,366.3
28,elementary_mathematics,B,,0,none,93,189.1,0.0,201.0
29,prehistory,B,B,1,logprob,91,185.0,0.0,199.9
30,miscellaneous,B,B,1,logprob,57,140.1,0.0,146.9
31,moral_scenarios,C,C,1,logprob,139,271.1,0.0,279.9
32,anatomy,B,C,0,logprob,109,229.8,0.0,241.4
33,professional_psychology,B,C,0,logprob,61,144.5,0.0,154.8
34,high_school_statistics,D,A,0,logprob,198,359.3,0.0,371.2
35,philosophy,A,B,0,logprob,90,187.9,0.0,199.6
36,professional_law,C,A,0,logprob,423,670.8,0.0,678.9
37,professional_accounting,C,B,0,logprob,87,183.0,0.0,189.4
38,high_school_psychology,B,B,1,logprob,158,273.5,0.0,280.7
39,high_school_us_history,A,A,1,logprob,320,499.3,0.0,511.9
40,astronomy,D,A,0,logprob,95,185.0,0.0,196.2
41,professional_medicine,B,A,0,logprob,102,226.9,0.0,233.9
42,professional_medicine,D,D,1,logprob,416,634.0,0.0,646.7
43,moral_scenarios,D,C,0,logprob,143,271.6,0.0,285.5
44,professional_psychology,C,C,1,logprob,94,189.2,0.0,200.1
45,philosophy,D,D,1,logprob,82,184.4,0.0,196.3
46,miscellaneous,C,C,1,logprob,59,140.6,0.0,149.6
47,moral_scenarios,C,C,1,logprob,129,227.3,0.0,233.3
48,nutrition,C,C,1,logprob,63,145.2,0.0,156.1
49,conceptual_physics,C,A,0,logprob,92,187.5,0.0,196.8
50,high_school_geography,D,D,1,logprob,84,186.2,0.0,196.5
51,philosophy,D,B,0,logprob,98,183.8,0.0,192.5
52,high_school_world_history,B,B,1,logprob,344,533.5,0.0,538.3
53,miscellaneous,A,B,0,logprob,60,137.9,0.0,144.9
54,high_school_physics,A,D,0,logprob,231,397.6,0.0,403.0
55,high_school_macroeconomics,D,A,0,logprob,105,227.4,0.0,232.0
56,electrical_engineering,D,A,0,logprob,83,181.0,0.0,185.5
57,sociology,C,C,1,logprob,110,223.7,0.0,228.9
58,high_school_mathematics,D,C,0,generated,64,138.0,0.0,142.8
59,clinical_knowledge,A,A,1,logprob,78,178.8,0.0,183.0
60,high_school_biology,A,A,1,logprob,85,178.7,0.0,182.9
61,high_school_macroeconomics,B,C,0,logprob,79,178.7,0.0,182.3
62,college_biology,D,D,1,logprob,130,225.9,0.0,230.9
63,marketing,C,C,1,logprob,85,185.6,0.0,193.1
64,moral_disputes,D,A,0,logprob,119,226.5,0.0,234.0
65,moral_scenarios,B,C,0,logprob,132,225.1,0.0,231.0
