id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,302.7,0.0,329.1
1,security_studies,D,D,1,logprob,259,482.8,0.0,505.6
2,professional_law,B,A,0,logprob,174,367.9,0.0,394.3
3,international_law,C,C,1,logprob,93,260.6,0.0,309.7
4,professional_medicine,A,B,0,logprob,200,434.0,0.0,488.6
5,high_school_physics,D,B,0,logprob,98,216.0,0.0,223.4
6,virology,A,D,0,logprob,86,214.1,0.0,230.5
7,miscellaneous,B,B,1,logprob,96,214.5,0.0,225.7
8,professional_law,D,B,0,logprob,233,471.3,0.0,486.9
9,high_school_biology,C,C,1,logprob,71,209.3,0.0,216.8
10,us_foreign_policy,B,B,1,logprob,96,210.7,0.0,215.9
11,machine_learning,C,C,1,logprob,99,210.1,0.0,214.3
12,clinical_knowledge,C,C,1,logprob,78,206.8,0.0,213.2
13,professional_law,A,D,0,logprob,420,760.2,0.0,770.6
14,high_school_geography,B,B,1,logprob,84,209.6,0.0,220.0
15,business_ethics,C,B,0,logprob,90,211.9,0.0,224.5
16,high_school_physics,C,B,0,logprob,93,212.8,0.0,222.5
17,anatomy,B,B,1,logprob,95,210.8,0.0,218.3
18,medical_genetics,C,C,1,logprob,99,211.5,0.0,219.4
19,moral_scenarios,B,C,0,logprob,131,266.2,0.0,274.9
20,machine_learning,B,B,1,logprob,57,160.5,0.0,174.5
21,high_school_us_history,D,D,1,logprob,378,704.7,0.0,735.2
22,formal_logic,D,D,1,logprob,98,213.6,0.0,233.7
23,high_school_us_history,A,A,1,logprob,238,479.6,0.0,502.1
24,high_school_european_history,C,C,1,logprob,211,418.5,0.0,443.9
25,college_biology,C,C,1,logprob,109,267.3,0.0,280.0
26,virology,B,A,0,logprob,78,216.3,0.0,231.5
27,high_school_psychology,A,A,1,logprob,208,422.6,0.0,440.3
28,elementary_mathematics,B,B,1,logprob,93,215.5,0.0,221.2
29,prehistory,B,B,1,logprob,91,210.3,0.0,215.3
30,miscellaneous,B,B,1,logprob,57,157.0,0.0,161.4
31,moral_scenarios,C,B,0,logprob,139,306.0,0.0,311.0
32,anatomy,B,B,1,logprob,109,255.7,0.0,260.0
33,professional_psychology,B,C,0,logprob,61,157.6,0.0,161.6
34,high_school_statistics,D,B,0,logprob,198,416.8,0.0,421.8
35,philosophy,A,B,0,logprob,90,208.4,0.0,213.2
36,professional_law,C,A,0,logprob,423,776.0,0.0,782.0
37,professional_accounting,C,B,0,logprob,87,210.9,0.0,216.4
38,high_school_psychology,B,B,1,logprob,158,311.3,0.0,315.6
39,high_school_us_history,A,A,1,logprob,320,571.6,0.0,576.8
40,astronomy,D,B,0,logprob,95,209.8,0.0,215.0
41,professional_medicine,B,D,0,logprob,102,255.4,0.0,260.0
42,professional_medicine,D,D,1,logprob,416,729.7,0.0,735.2
