id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,282.9,0.0,296.4
1,security_studies,D,D,1,logprob,259,471.1,0.0,480.0
2,professional_law,B,A,0,logprob,174,364.9,0.0,374.1
3,international_law,C,C,1,logprob,93,212.3,0.0,221.1
4,professional_medicine,A,B,0,logprob,200,410.6,0.0,416.6
5,high_school_physics,D,B,0,logprob,98,212.8,0.0,218.7
6,virology,A,D,0,logprob,86,215.1,0.0,221.9
7,miscellaneous,B,B,1,logprob,96,216.1,0.0,224.7
8,professional_law,D,B,0,logprob,233,465.4,0.0,474.0
9,high_school_biology,C,C,1,logprob,71,212.9,0.0,221.2
10,us_foreign_policy,B,B,1,logprob,96,215.6,0.0,223.6
11,machine_learning,C,C,1,logprob,99,213.5,0.0,220.1
12,clinical_knowledge,C,C,1,logprob,78,209.3,0.0,214.5
13,professional_law,A,D,0,logprob,420,723.7,0.0,730.2
14,high_school_geography,B,B,1,logprob,84,211.7,0.0,217.7
15,business_ethics,C,B,0,logprob,90,215.5,0.0,223.6
16,high_school_physics,C,B,0,logprob,93,215.1,0.0,222.9
17,anatomy,B,B,1,logprob,95,213.7,0.0,221.1
18,medical_genetics,C,C,1,logprob,99,213.1,0.0,218.9
19,moral_scenarios,B,C,0,logprob,131,267.1,0.0,274.0
20,machine_learning,B,B,1,logprob,57,162.9,0.0,170.3
21,high_school_us_history,D,D,1,logprob,378,676.8,0.0,685.1
22,formal_logic,D,D,1,logprob,98,213.9,0.0,222.8
23,high_school_us_history,A,A,1,logprob,238,467.7,0.0,477.5
24,high_school_european_history,C,C,1,logprob,211,419.2,0.0,429.3
25,college_biology,C,C,1,logprob,109,264.5,0.0,273.4
26,virology,B,A,0,logprob,78,211.6,0.0,220.2
27,high_school_psychology,A,A,1,logprob,208,416.1,0.0,423.9
28,elementary_mathematics,B,B,1,logprob,93,214.9,0.0,222.1
29,prehistory,B,B,1,logprob,91,215.8,0.0,224.2
30,miscellaneous,B,B,1,logprob,57,163.5,0.0,171.2
31,moral_scenarios,C,B,0,logprob,139,310.5,0.0,318.0
32,anatomy,B,B,1,logprob,109,260.8,0.0,266.9
33,professional_psychology,B,C,0,logprob,61,161.6,0.0,168.2
34,high_school_statistics,D,B,0,logprob,198,412.5,0.0,418.1
35,philosophy,A,B,0,logprob,90,216.3,0.0,223.3
36,professional_law,C,A,0,logprob,423,777.1,0.0,786.2
37,professional_accounting,C,B,0,logprob,87,212.3,0.0,219.9
38,high_school_psychology,B,B,1,logprob,158,318.0,0.0,326.7
39,high_school_us_history,A,A,1,logprob,320,576.1,0.0,585.8
40,astronomy,D,B,0,logprob,95,217.9,0.0,226.9
41,professional_medicine,B,D,0,logprob,102,263.0,0.0,271.7
42,professional_medicine,D,D,1,logprob,416,735.9,0.0,745.7
43,moral_scenarios,D,C,0,logprob,143,315.8,0.0,326.9
44,professional_psychology,C,C,1,logprob,94,214.2,0.0,223.0
45,philosophy,D,D,1,logprob,82,211.9,0.0,219.4
46,miscellaneous,C,C,1,logprob,59,164.8,0.0,172.2
47,moral_scenarios,C,C,1,logprob,129,266.9,0.0,275.1
48,nutrition,C,C,1,logprob,63,161.7,0.0,168.3
49,conceptual_physics,C,A,0,logprob,92,211.6,0.0,217.6
50,high_school_geography,D,D,1,logprob,84,211.6,0.0,218.8
51,philosophy,D,B,0,logprob,98,215.5,0.0,223.8
52,high_school_world_history,B,B,1,logprob,344,622.9,0.0,631.2
53,miscellaneous,A,B,0,logprob,60,160.6,0.0,168.0
54,high_school_physics,A,D,0,logprob,231,469.3,0.0,477.3
55,high_school_macroeconomics,D,A,0,logprob,105,260.8,0.0,269.6
56,electrical_engineering,D,A,0,logprob,83,213.0,0.0,221.3
57,sociology,C,C,1,logprob,110,265.4,0.0,273.8
58,high_school_mathematics,D,B,0,logprob,64,165.5,0.0,173.2
59,clinical_knowledge,A,A,1,logprob,78,210.5,0.0,217.7
60,high_school_biology,A,A,1,logprob,85,210.1,0.0,215.6
61,high_school_macroeconomics,B,C,0,logprob,79,209.1,0.0,214.0
62,college_biology,D,D,1,logprob,130,266.9,0.0,274.1
63,marketing,C,C,1,logprob,85,214.5,0.0,223.2
64,moral_disputes,D,A,0,logprob,119,264.2,0.0,272.3
65,moral_scenarios,B,B,1,logprob,132,262.4,0.0,269.6
66,philosophy,D,D,1,logprob,78,211.2,0.0,219.6
67,moral_scenarios,B,B,1,logprob,129,264.5,0.0,271.7
68,college_mathematics,B,A,0,logprob,138,312.9,0.0,319.9
69,elementary_mathematics,A,A,1,logprob,123,264.1,0.0,271.4
70,prehistory,D,B,0,logprob,69,210.1,0.0,217.2
71,professional_medicine,A,A,1,logprob,358,673.2,0.0,681.2
72,professional_psychology,C,A,0,logprob,93,215.8,0.0,226.5
73,conceptual_physics,B,B,1,logprob,61,166.3,0.0,174.5
74,moral_scenarios,D,C,0,logprob,142,313.1,0.0,321.6
75,high_school_government_and_politics,B,B,1,logprob,78,212.9,0.0,220.1
76,professional_accounting,B,B,1,logprob,114,265.7,0.0,274.5
