id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,286.5,0.0,296.9
1,security_studies,D,D,1,logprob,259,482.1,0.0,492.7
2,professional_law,B,A,0,logprob,174,372.0,0.0,379.4
3,international_law,C,C,1,logprob,93,221.5,0.0,228.2
4,professional_medicine,A,B,0,logprob,200,429.4,0.0,438.7
5,high_school_physics,D,B,0,logprob,98,224.9,0.0,233.8
6,virology,A,D,0,logprob,86,222.9,0.0,230.4
7,miscellaneous,B,B,1,logprob,96,228.4,0.0,235.5
8,professional_law,D,B,0,logprob,233,504.3,0.0,511.6
9,high_school_biology,C,C,1,logprob,71,238.6,0.0,247.8
10,us_foreign_policy,B,B,1,logprob,96,253.1,0.0,261.6
11,machine_learning,C,C,1,logprob,99,266.9,0.0,276.5
12,clinical_knowledge,C,C,1,logprob,78,276.5,0.0,284.2
13,professional_law,A,D,0,logprob,420,1181.7,0.0,1189.5
14,high_school_geography,B,B,1,logprob,84,355.6,0.0,364.1
15,business_ethics,C,B,0,logprob,90,348.1,0.0,355.8
16,high_school_physics,C,B,0,logprob,93,334.3,0.0,341.7
17,anatomy,B,B,1,logprob,95,334.7,0.0,343.3
18,medical_genetics,C,C,1,logprob,99,323.8,0.0,332.8
19,moral_scenarios,B,C,0,logprob,131,396.2,0.0,404.4
20,machine_learning,B,B,1,logprob,57,235.3,0.0,242.8
21,high_school_us_history,D,D,1,logprob,378,1069.6,0.0,1078.7
22,formal_logic,D,D,1,logprob,98,331.3,0.0,342.1
23,high_school_us_history,A,A,1,logprob,238,706.0,0.0,714.9
24,high_school_european_history,C,C,1,logprob,211,626.4,0.0,634.2
25,college_biology,C,C,1,logprob,109,400.4,0.0,409.2
26,virology,B,A,0,logprob,78,310.2,0.0,318.6
27,high_school_psychology,A,A,1,logprob,208,694.2,0.0,702.2
28,elementary_mathematics,B,B,1,logprob,93,324.3,0.0,332.5
29,prehistory,B,B,1,logprob,91,309.6,0.0,316.5
30,miscellaneous,B,B,1,logprob,57,227.7,0.0,232.3
31,moral_scenarios,C,B,0,logprob,139,452.9,0.0,459.3
32,anatomy,B,B,1,logprob,109,391.7,0.0,400.5
33,professional_psychology,B,C,0,logprob,61,242.7,0.0,252.0
34,high_school_statistics,D,B,0,logprob,198,652.0,0.0,660.0
35,philosophy,A,B,0,logprob,90,350.5,0.0,358.1
36,professional_law,C,A,0,logprob,423,1319.6,0.0,1328.2
37,professional_accounting,C,B,0,logprob,87,349.6,0.0,359.5
38,high_school_psychology,B,B,1,logprob,158,508.6,0.0,517.7
39,high_school_us_history,A,A,1,logprob,320,954.5,0.0,965.5
40,astronomy,D,B,0,logprob,95,354.9,0.0,365.2
41,professional_medicine,B,D,0,logprob,102,415.1,0.0,424.0
42,professional_medicine,D,D,1,logprob,416,1158.8,0.0,1168.2
43,moral_scenarios,D,C,0,logprob,143,486.7,0.0,495.7
44,professional_psychology,C,C,1,logprob,94,327.2,0.0,335.9
45,philosophy,D,D,1,logprob,82,324.1,0.0,332.0
46,miscellaneous,C,C,1,logprob,59,246.5,0.0,253.1
47,moral_scenarios,C,C,1,logprob,129,443.1,0.0,451.0
48,nutrition,C,C,1,logprob,63,257.4,0.0,265.4
49,conceptual_physics,C,A,0,logprob,92,314.9,0.0,322.4
50,high_school_geography,D,D,1,logprob,84,315.2,0.0,321.8
51,philosophy,D,B,0,logprob,98,323.8,0.0,331.7
52,high_school_world_history,B,B,1,logprob,344,1003.6,0.0,1013.9
53,miscellaneous,A,B,0,logprob,60,247.3,0.0,257.5
54,high_school_physics,A,D,0,logprob,231,731.0,0.0,738.5
55,high_school_macroeconomics,D,D,1,logprob,105,408.0,0.0,418.0
56,electrical_engineering,D,C,0,logprob,83,317.4,0.0,325.4
57,sociology,C,C,1,logprob,110,388.2,0.0,396.5
58,high_school_mathematics,D,B,0,logprob,64,237.1,0.0,245.9
59,clinical_knowledge,A,A,1,logprob,78,313.5,0.0,320.3
60,high_school_biology,A,A,1,logprob,85,315.3,0.0,322.7
61,high_school_macroeconomics,B,C,0,logprob,79,314.3,0.0,322.2
62,college_biology,D,D,1,logprob,130,405.2,0.0,411.6
63,marketing,C,C,1,logprob,85,323.7,0.0,331.3
64,moral_disputes,D,A,0,logprob,119,408.8,0.0,417.1
65,moral_scenarios,B,B,1,logprob,132,403.1,0.0,412.0
66,philosophy,D,D,1,logprob,78,316.8,0.0,321.0
67,moral_scenarios,B,C,0,logprob,129,424.9,0.0,430.5
68,college_mathematics,B,A,0,logprob,138,536.3,0.0,544.2
69,elementary_mathematics,A,A,1,logprob,123,448.6,0.0,456.6
70,prehistory,D,B,0,logprob,69,343.9,0.0,351.1
71,professional_medicine,A,A,1,logprob,358,1200.4,0.0,1208.3
72,professional_psychology,C,A,0,logprob,93,333.6,0.0,342.4
73,conceptual_physics,B,B,1,logprob,61,243.0,0.0,248.2
74,moral_scenarios,D,C,0,logprob,142,479.6,0.0,485.8
75,high_school_government_and_politics,B,B,1,logprob,78,322.1,0.0,330.6
76,professional_accounting,B,B,1,logprob,114,416.3,0.0,425.2
77,professional_psychology,D,D,1,logprob,78,319.6,0.0,329.3
78,formal_logic,C,B,0,logprob,103,392.5,0.0,400.8
79,professional_psychology,A,D,0,logprob,73,306.7,0.0,313.4
80,human_aging,A,D,0,logprob,75,306.5,0.0,312.5
81,logical_fallacies,B,B,1,logprob,157,468.1,0.0,476.0
82,moral_scenarios,C,B,0,logprob,126,404.1,0.0,411.8
83,high_school_government_and_politics,B,D,0,logprob,108,398.7,0.0,408.7
84,miscellaneous,A,A,1,logprob,58,248.2,0.0,257.2
85,professional_accounting,D,C,0,logprob,151,475.1,0.0,483.2
86,elementary_mathematics,B,B,1,logprob,112,396.8,0.0,403.2
87,conceptual_physics,A,B,0,logprob,58,242.4,0.0,249.4
88,high_school_mathematics,C,B,0,logprob,93,321.7,0.0,328.8
89,high_school_geography,B,B,1,logprob,88,315.4,0.0,323.8
90,machine_learning,C,B,0,logprob,153,475.2,0.0,482.3
91,conceptual_physics,A,B,0,logprob,76,325.9,0.0,333.9
