id,subject,gold,pred,correct,method,prompt_n,prompt_ms,predicted_ms,wall_ms
0,professional_psychology,C,C,1,logprob,118,362.4,0.0,1012.9
1,security_studies,D,D,1,logprob,259,967.3,0.0,1058.4
2,professional_law,B,A,0,logprob,174,1493.1,0.0,1521.8
3,international_law,C,C,1,logprob,93,502.4,0.0,557.3
4,professional_medicine,A,B,0,logprob,200,1005.8,0.0,1100.1
5,high_school_physics,D,B,0,logprob,98,464.4,0.0,517.0
6,virology,A,D,0,logprob,86,485.6,0.0,502.6
7,miscellaneous,B,B,1,logprob,96,510.2,0.0,537.3
8,professional_law,D,B,0,logprob,233,1220.4,0.1,1269.0
9,high_school_biology,C,C,1,logprob,71,537.6,0.0,596.9
10,us_foreign_policy,B,B,1,logprob,96,507.9,0.0,551.6
11,machine_learning,C,C,1,logprob,99,493.1,0.0,520.8
12,clinical_knowledge,C,C,1,logprob,78,355.4,0.0,1320.9
13,professional_law,A,D,0,logprob,420,2127.3,0.0,2456.4
14,high_school_geography,B,B,1,logprob,84,383.7,0.0,744.4
15,business_ethics,C,B,0,logprob,90,376.6,0.0,493.3
16,high_school_physics,C,B,0,logprob,93,606.1,0.0,679.3
17,anatomy,B,B,1,logprob,95,364.4,0.0,962.1
18,medical_genetics,C,C,1,logprob,99,425.7,0.0,871.0
19,moral_scenarios,B,C,0,logprob,131,582.5,0.0,648.7
20,machine_learning,B,B,1,logprob,57,253.8,0.0,3880.1
21,high_school_us_history,D,D,1,logprob,378,1740.4,0.0,2629.4
22,formal_logic,D,D,1,logprob,98,573.5,0.0,1226.7
23,high_school_us_history,A,A,1,logprob,238,870.5,0.0,1682.4
24,high_school_european_history,C,C,1,logprob,211,908.0,0.0,1637.3
25,college_biology,C,C,1,logprob,109,713.0,0.0,828.5
26,virology,B,A,0,logprob,78,598.4,0.0,673.2
27,high_school_psychology,A,A,1,logprob,208,974.2,0.0,1477.2
28,elementary_mathematics,B,B,1,logprob,93,484.5,0.0,770.7
29,prehistory,B,B,1,logprob,91,317.2,0.0,808.4
30,miscellaneous,B,B,1,logprob,57,214.0,0.0,252.8
31,moral_scenarios,C,B,0,logprob,139,622.9,0.0,966.4
32,anatomy,B,B,1,logprob,109,571.8,0.0,1712.3
33,professional_psychology,B,C,0,logprob,61,356.4,0.0,785.3
34,high_school_statistics,D,B,0,logprob,198,1199.0,0.0,2390.1
35,philosophy,A,B,0,logprob,90,486.8,0.0,639.1
36,professional_law,C,A,0,logprob,423,2161.3,0.0,2773.7
37,professional_accounting,C,B,0,logprob,87,490.3,0.0,1049.4
38,high_school_psychology,B,B,1,logprob,158,706.4,0.0,1256.7
39,high_school_us_history,A,A,1,logprob,320,1183.9,0.0,1726.9
40,astronomy,D,B,0,logprob,95,498.1,0.0,861.6
41,professional_medicine,B,D,0,logprob,102,553.9,0.0,653.9
42,professional_medicine,D,D,1,logprob,416,2023.8,0.0,4332.2
43,moral_scenarios,D,C,0,logprob,143,413.5,0.0,6156.1
44,professional_psychology,C,C,1,logprob,94,285.2,0.0,473.0
45,philosophy,D,D,1,logprob,82,892.8,0.0,2168.4
46,miscellaneous,C,C,1,logprob,59,407.2,0.0,713.9
47,moral_scenarios,C,C,1,logprob,129,433.9,0.0,477.1
48,nutrition,C,C,1,logprob,63,315.1,0.0,769.4
49,conceptual_physics,C,A,0,logprob,92,668.8,0.0,1128.4
50,high_school_geography,D,D,1,logprob,84,585.3,0.0,991.6
51,philosophy,D,B,0,logprob,98,424.6,0.0,979.6
52,high_school_world_history,B,B,1,logprob,344,2092.5,0.0,3140.2
53,miscellaneous,A,B,0,logprob,60,342.3,0.0,477.0
54,high_school_physics,A,D,0,logprob,231,985.1,0.0,1477.5
55,high_school_macroeconomics,D,A,0,logprob,105,487.8,0.0,653.0
56,electrical_engineering,D,A,0,logprob,83,290.3,0.0,339.5
57,sociology,C,C,1,logprob,110,368.7,0.0,387.7
58,high_school_mathematics,D,B,0,logprob,64,257.4,0.0,312.3
59,clinical_knowledge,A,A,1,logprob,78,352.9,0.0,509.1
60,high_school_biology,A,A,1,logprob,85,411.6,0.0,628.0
61,high_school_macroeconomics,B,C,0,logprob,79,423.2,0.0,564.7
62,college_biology,D,D,1,logprob,130,522.2,0.0,767.4
63,marketing,C,C,1,logprob,85,402.5,0.0,429.0
64,moral_disputes,D,A,0,logprob,119,618.1,0.0,663.6
65,moral_scenarios,B,B,1,logprob,132,680.0,0.0,824.7
66,philosophy,D,D,1,logprob,78,512.1,0.0,4158.0
67,moral_scenarios,B,C,0,logprob,129,347.9,0.0,1466.1
68,college_mathematics,B,A,0,logprob,138,427.7,0.0,1499.5
69,elementary_mathematics,A,A,1,logprob,123,401.9,0.0,1538.2
70,prehistory,D,B,0,logprob,69,291.9,0.0,846.7
71,professional_medicine,A,A,1,logprob,358,1468.3,0.0,1824.2
72,professional_psychology,C,A,0,logprob,93,684.1,0.0,888.8
73,conceptual_physics,B,B,1,logprob,61,417.1,0.0,893.7
74,moral_scenarios,D,C,0,logprob,142,698.0,0.0,1337.6
75,high_school_government_and_politics,B,B,1,logprob,78,441.3,0.0,1018.7
76,professional_accounting,B,B,1,logprob,114,315.8,0.0,424.5
77,professional_psychology,D,D,1,logprob,78,281.1,0.0,314.1
78,formal_logic,C,B,0,logprob,103,369.5,0.0,502.4
79,professional_psychology,A,D,0,logprob,73,343.6,0.0,386.0
80,human_aging,A,D,0,logprob,75,394.9,0.0,486.4
81,logical_fallacies,B,B,1,logprob,157,919.6,0.0,1083.1
82,moral_scenarios,C,B,0,logprob,126,434.6,0.0,532.4
83,high_school_government_and_politics,B,D,0,logprob,108,400.2,0.0,767.5
84,miscellaneous,A,A,1,logprob,58,212.3,0.0,314.1
85,professional_accounting,D,C,0,logprob,151,422.3,0.0,2318.1
86,elementary_mathematics,B,B,1,logprob,112,325.8,0.0,347.1
87,conceptual_physics,A,B,0,logprob,58,196.6,0.0,321.1
88,high_school_mathematics,C,B,0,logprob,93,273.6,0.0,296.9
89,high_school_geography,B,B,1,logprob,88,315.5,0.0,409.5
90,machine_learning,C,B,0,logprob,153,819.5,0.0,1025.4
91,conceptual_physics,A,B,0,logprob,76,736.4,0.0,969.1
92,human_sexuality,D,D,1,logprob,157,1017.5,0.0,1881.4
93,sociology,D,D,1,logprob,119,417.6,0.0,567.4
94,professional_law,C,C,1,logprob,353,1023.1,0.0,1074.4
95,conceptual_physics,A,A,1,logprob,77,385.0,0.0,415.7
96,high_school_government_and_politics,A,A,1,logprob,101,637.1,0.0,692.0
97,computer_security,A,A,1,logprob,60,382.0,0.0,523.3
98,moral_scenarios,A,C,0,logprob,129,594.1,0.0,717.2
99,moral_scenarios,C,C,1,logprob,131,549.6,0.0,1716.6
100,global_facts,B,C,0,logprob,83,362.0,0.0,4480.8
101,computer_security,D,D,1,logprob,66,435.5,0.0,12817.7
102,conceptual_physics,B,C,0,logprob,68,278.1,0.0,1454.8
103,public_relations,C,C,1,logprob,126,303.8,0.0,348.6
104,moral_disputes,A,B,0,logprob,120,289.2,0.0,444.2
105,clinical_knowledge,C,C,1,logprob,72,215.7,0.0,229.6
106,computer_security,C,C,1,logprob,86,210.4,0.0,232.0
107,professional_accounting,D,B,0,logprob,158,317.9,0.0,339.3
108,high_school_psychology,D,D,1,logprob,107,260.4,0.0,272.4
109,high_school_mathematics,D,B,0,logprob,72,226.9,0.0,309.0
110,moral_scenarios,D,C,0,logprob,140,315.1,0.0,323.6
111,professional_psychology,B,A,0,logprob,137,335.8,0.0,421.7
112,clinical_knowledge,C,C,1,logprob,80,213.2,0.0,250.9
