n_draft,env,prompt,predicted_n,decode_tps,draft_n,draft_accepted
1,-,1,128,35.46,86,41
1,-,2,128,35.48,86,41
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.3,1,128,34.33,80,37
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.3,2,128,35.40,85,41
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,1,128,34.27,66,35
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,2,128,37.52,67,44
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,1,128,33.41,43,28
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,2,128,35.31,48,35
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,1,128,31.90,90,42
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.5,2,128,33.69,104,53
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,1,128,32.35,59,35
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp --spec-draft-p-min 0.7,2,128,33.30,76,43
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp,1,128,33.66,89,38
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp,2,128,36.90,80,46
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp --spec-draft-p-min 0.5,1,128,32.31,64,30
1,mtp-gemma-4-E2B-it-Q8_0.gguf draft-mtp --spec-draft-p-min 0.5,2,128,37.21,63,44
1,mtp-gemma-4-E2B-it-Q4_0.gguf ngram-simple,1,128,30.37,None,None
1,mtp-gemma-4-E2B-it-Q4_0.gguf ngram-simple,2,128,30.17,None,None
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-simple,1,128,29.24,150,51
2,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-simple,2,128,31.83,137,57
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-map-k4v,1,128,35.16,86,41
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,ngram-map-k4v,2,128,35.24,86,41
1,GGML_HEXAGON_HMX_MIN_NROWS=1 mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,1,128,26.59,87,39
1,GGML_HEXAGON_HMX_MIN_NROWS=1 mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,2,128,28.47,81,45
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,1,128,35.24,86,41
1,mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,2,128,35.32,86,41
1,gemma-4-E2B-it-Q4_0-head4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,1,128,37.21,87,40
1,gemma-4-E2B-it-Q4_0-head4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,2,128,40.94,79,48
1,gemma-4-E2B-it-Q4_0-prune4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,1,128,29.28,115,11
1,gemma-4-E2B-it-Q4_0-prune4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,2,128,28.08,120,6
1,gemma-4-E2B-it-Q4_0-head4-prune4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,1,128,29.56,122,4
1,gemma-4-E2B-it-Q4_0-head4-prune4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,2,128,30.16,119,7
1,gemma-4-E2B-it-Q4_0-head_mxfp4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,1,128,36.89,89,38
1,gemma-4-E2B-it-Q4_0-head_mxfp4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,2,128,40.02,81,45
1,gemma-4-E2B-it-Q4_0-head_mxfp4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,1,128,36.98,89,38
1,gemma-4-E2B-it-Q4_0-head_mxfp4.gguf  mtp-gemma-4-E2B-it-Q4_0.gguf draft-mtp,2,128,40.08,81,45
