
# Profile Report (Top 100 Ops sorted by tot-usec)

| Op             | Dims                                     | DTypes                          | Tot usec   | Avg usec | Avg Cycles  | Max usec | Max Cycles | Count |
| -------------- | ---------------------------------------- | ------------------------------- | ---------- | -------- | ----------- | -------- | ---------- | ----- |
| OPBATCH        | n-ops 800                                | ----                            | 1105218.00 | 33491.45 | 57231757.58 | 106482   | 181957588  | 33    |
| MUL_MAT_NX     | 1536:12288 x 1536:12288 x 1536:1 -> 1... | q4_0 x q4_0 x f32 -> f32        | 243918.00  | 393.42   | 673191.22   | 487      | 832806     | 620   |
| MUL_MAT        | 1536:262144 x 1536:1 -> 262144:1         | q8_0 x f32 -> f32               | 243759.00  | 7386.64  | 12623222.06 | 7436     | 12707245   | 33    |
| MUL_MAT        | 12288:1536 x 12288:1 -> 1536:1           | q4_0 x f32 -> f32               | 131627.00  | 212.30   | 363675.35   | 284      | 485343     | 620   |
| MUL_MAT_NX     | 1536:6144 x 1536:6144 x 1536:1 -> 6144:1 | q4_0 x q4_0 x f32 -> f32        | 91747.00   | 197.31   | 338079.90   | 225      | 384701     | 465   |
| MUL_MAT        | 6144:1536 x 6144:1 -> 1536:1             | q4_0 x f32 -> f32               | 48243.00   | 103.75   | 178180.59   | 113      | 194026     | 465   |
| MUL_MAT        | 2048:1536 x 2048:1 -> 1536:1             | q4_0 x f32 -> f32               | 31365.00   | 36.13    | 62645.30    | 53       | 91391      | 868   |
| OPBATCH        | n-ops 23                                 | ----                            | 22760.00   | 689.70   | 1179868.61  | 2383     | 4073608    | 33    |
| FLASH_ATTN_EXT | 256:1:8:1 x 256:256 x 256:256 x 256:1... | f32 x f16 x f16 x f16 -> f32    | 20896.00   | 24.07    | 42086.28    | 58       | 99494      | 868   |
| MUL_MAT_NX     | 1536:12288 x 1536:12288 x 1536:142 ->... | q4_0 x q4_0 x f32 -> f32        | 20065.00   | 1003.25  | 1715325.45  | 1012     | 1729666    | 20    |
| MUL_MAT_NX     | 1536:2048 x 1536:256 x 1536:256 x 153... | q4_0 x q4_0 x q4_0 x f32 -> f32 | 18194.00   | 48.91    | 84492.55    | 57       | 98599      | 372   |
| MUL_MAT        | 1536:2048 x 1536:1 -> 2048:1             | q4_0 x f32 -> f32               | 17773.00   | 35.83    | 62169.80    | 62       | 106028     | 496   |
| RMS_NORM+MUL   | 1536:1 x 1536:1 -> 1536:1                | f32 x f32 -> f32                | 17480.00   | 3.20     | 6399.59     | 12       | 20841      | 5456  |
| MUL_MAT        | 4096:1536 x 4096:1 -> 1536:1             | q4_0 x f32 -> f32               | 15108.00   | 69.62    | 119779.83   | 91       | 156976     | 217   |
| GEGLU          | 12288:1 x 12288:1 -> 12288:1             | f32 x f32 -> f32                | 11613.00   | 18.73    | 32738.58    | 20       | 34925      | 620   |
| MUL_MAT        | 12288:1536 x 12288:142 -> 1536:142       | q4_0 x f32 -> f32               | 10898.00   | 544.90   | 932525.40   | 557      | 953547     | 20    |
| TANH           | 262144:1 -> 262144:1                     | f32 -> f32                      | 9817.00    | 297.48   | 509396.82   | 299      | 511092     | 33    |
| MUL_MAT_NX     | 1536:12288 x 1536:12288 x 1536:2 -> 1... | q4_0 x q4_0 x f32 -> f32        | 9425.00    | 471.25   | 806220.95   | 547      | 936363     | 20    |
| ADD            | 1536:1 x 1536:1 -> 1536:1                | f32 x f32 -> f32                | 9369.00    | 2.88     | 5469.93     | 10       | 18523      | 3255  |
| MUL_MAT        | 1536:256 x 1536:1 -> 256:1               | q4_0 x f32 -> f32               | 9251.00    | 8.53     | 15429.24    | 11       | 20267      | 1085  |
| MUL_MAT        | 1536:4096 x 1536:1 -> 4096:1             | q4_0 x f32 -> f32               | 8551.00    | 68.96    | 118679.96   | 116      | 198384     | 124   |
| RMS_NORM+MUL   | 1536:142 x 1536:1 -> 1536:142            | f32 x f32 -> f32                | 8320.00    | 47.27    | 81690.51    | 63       | 107909     | 176   |
| GEGLU          | 12288:142 x 12288:142 -> 12288:142       | f32 x f32 -> f32                | 8250.00    | 412.50   | 706482.45   | 421      | 720329     | 20    |
| MUL_MAT_NX     | 1536:4096 x 1536:512 x 1536:512 x 153... | q4_0 x q4_0 x q4_0 x f32 -> f32 | 8060.00    | 86.67    | 148956.06   | 99       | 170191     | 93    |
| MUL_MAT_NX     | 1536:6144 x 1536:6144 x 1536:142 -> 6... | q4_0 x q4_0 x f32 -> f32        | 7469.00    | 497.93   | 851861.67   | 512      | 876301     | 15    |
| MUL_MAT        | 256:1536 x 256:1 -> 1536:1               | q4_0 x f32 -> f32               | 7085.00    | 6.53     | 12055.60    | 19       | 33811      | 1085  |
| FLASH_ATTN_EXT | 256:142:8:1 x 256:256 x 256:256 x 256... | f32 x f16 x f16 x f16 -> f32    | 6296.00    | 224.86   | 385024.50   | 231      | 395364     | 28    |
| FLASH_ATTN_EXT | 512:1:8:1 x 512:256 x 512:256 x 256:1... | f32 x f16 x f16 x f16 -> f32    | 5836.00    | 26.89    | 46908.56    | 31       | 53756      | 217   |
| ADD            | 1536:142 x 1536:142 -> 1536:142          | f32 x f32 -> f32                | 5479.00    | 52.18    | 90075.81    | 58       | 100536     | 105   |
| GEGLU          | 6144:1 x 6144:1 -> 6144:1                | f32 x f32 -> f32                | 5154.00    | 11.08    | 20118.14    | 21       | 37133      | 465   |
| MUL_MAT        | 12288:1536 x 12288:2 -> 1536:2           | q4_0 x f32 -> f32               | 5051.00    | 252.55   | 432683.75   | 267      | 459374     | 20    |
| MUL_MAT        | 6144:1536 x 6144:142 -> 1536:142         | q4_0 x f32 -> f32               | 4663.00    | 310.87   | 532466.93   | 325      | 556021     | 15    |
| ROPE           | 256:8 x 1:1 -> 256:8                     | f32 x i32 -> f32                | 4316.00    | 4.97     | 9020.53     | 21       | 36663      | 868   |
| GEGLU          | 6144:142 x 6144:142 -> 6144:142          | f32 x f32 -> f32                | 3661.00    | 244.07   | 418582.80   | 287      | 491322     | 15    |
| SCALE          | 262144:1 -> 262144:1                     | f32 -> f32                      | 3636.00    | 55.09    | 95073.50    | 65       | 112099     | 66    |
